order_id,product,region,quantity,price,order_date
4297,Charger,south,4.0,one thousand,2022-05-05
4607,Phone,NORTH,3.0,2000,2024-07-21
2417,,EAST,1000.0,1000,22-Aug-2022
2485,Laptop,EAST,2.0,1500,2023/12/07
1757,Laptop,North,4.0,1000,2023-01-30
2011,Tablet,North,4.0,1000,09-Sep-2023
3950,Case,West,4.0,1000,2021-27-02
4592,Tablet,North,1000.0,1000,07-31-2023
2061,Phone,EAST,3.0,one thousand,2021-11-28
2484,,West,5.0,10000,27-Sep-2024
1233,Phone,West,1000.0,10000,29/09/2021
4954,Case,SOUTH,4.0,500,2024-07-06
3493,Laptop,east,5.0,one thousand,10-31-2024
4259,Tablet,east,1.0,500,2020-04-08
3509,Phone,south,4.0,10000,2021/07/17
4519,Headphone,SOUTH,1000.0,,2023/11/08
1896,Tablet,south,4.0,,03-Aug-2021
3200,Tablet,SOUTH,4.0,1000,2021/01/10
1963,,south,4.0,1000,01-Apr-2023
4374,Phone,south,5.0,,2024-24-02
2551,Phone,NORTH,3.0,one thousand,09-Jan-2020
3842,Case,West,4.0,1500,2022/02/02
4572,,west,1000.0,one thousand,2023-06-06
3577,Phone,west,1000.0,2000,04/06/2022
3184,Charger,North,4.0,10000,2022-23-03
2533,,West,1.0,500,2022/04/18
2406,Case,West,5.0,2000,2020/07/22
2123,Headphone,SOUTH,5.0,one thousand,04-08-2020
3698,,south,4.0,10000,21/03/2020
4581,,West,1000.0,500,2020-24-03
2587,Charger,east,5.0,1000,2021-24-03
4695,,east,1.0,500,10-14-2024
1894,Case,NORTH,3.0,,06/06/2021
1543,,east,5.0,,21-Apr-2024
1047,Laptop,EAST,1000.0,1000,2024/06/27
3479,Headphone,west,1000.0,one thousand,01-24-2021
3857,Headphone,west,3.0,1500,2022/06/18
1293,Phone,south,1000.0,10000,2024/10/14
2789,,SOUTH,2.0,one thousand,2022-31-07
3659,Laptop,North,5.0,,2020/02/25
4521,Case,east,4.0,1500,10-16-2020
1484,Laptop,North,5.0,1000,2020/10/02
3026,Phone,east,1000.0,one thousand,2021/05/18
2900,Headphone,SOUTH,4.0,10000,2022/01/11
2861,Tablet,east,1000.0,1000,15/04/2023
2329,Tablet,SOUTH,3.0,10000,08/06/2022
2614,Headphone,west,4.0,one thousand,2020/05/04
4044,Tablet,EAST,2.0,10000,2021-10-07
1307,Case,West,2.0,1000,2024-04-06
3895,,SOUTH,1000.0,1500,2024-28-01
2321,Charger,West,1000.0,500,2020-05-07
1252,Laptop,EAST,4.0,500,01-04-2024
1274,Tablet,west,4.0,1500,10-18-2022
1177,Headphone,south,2.0,10000,2023/08/14
2258,Laptop,NORTH,1000.0,one thousand,2022/10/09
4092,Case,NORTH,1000.0,10000,23/07/2020
4797,Case,west,1.0,1000,2024-05-04
1698,Laptop,south,4.0,one thousand,10-06-2020
4143,Charger,south,4.0,1000,07-19-2022
1345,Case,West,2.0,10000,2020-16-07
3652,Charger,west,4.0,1500,2020-04-07
4678,Phone,NORTH,3.0,1000,2020-21-03
3380,,SOUTH,5.0,500,26-Sep-2020
3510,Laptop,east,1.0,1500,2023-15-06
3133,Laptop,SOUTH,3.0,one thousand,23-Sep-2024
2225,Tablet,east,3.0,500,18/03/2024
2379,Phone,North,3.0,1500,06-08-2024
2644,,east,4.0,1000,16-May-2022
4371,Case,West,1000.0,one thousand,09-05-2021
4709,Headphone,NORTH,1000.0,10000,26-Jan-2020
1980,Headphone,North,2.0,one thousand,19/07/2021
2607,Tablet,EAST,2.0,,05-14-2024
3874,Charger,east,3.0,1000,2021/08/01
2546,Case,West,5.0,500,2021/03/04
