order_id,product,region,quantity,price,order_date
4297,Charger,south,4,one thousand,2022-05-05
4607,Phone,NORTH,3,2000,2024-07-21
2417,,EAST,1000,1000,22-Aug-2022
2485,Laptop,EAST,2,1500,2023/12/07
1757,Laptop,North,4,1000,2023-01-30
2011,Tablet,North,4,1000,09-Sep-2023
3950,Case,West,4,1000,2021-27-02
4592,Tablet,North,1000,1000,07-31-2023
2061,Phone,EAST,3,one thousand,2021-11-28
1583,Tablet,SOUTH,-3,1500,21-Dec-2024
2484,,West,5,10000,27-Sep-2024
2194,Headphone,North,,500,2020/12/15
1233,Phone,West,1000,10000,29/09/2021
4954,Case,SOUTH,4,500,2024-07-06
3493,Laptop,east,5,one thousand,10-31-2024
4259,Tablet,east,1,500,2020-04-08
4640,Case,east,,,24-Aug-2020
3509,Phone,south,4,10000,2021/07/17
1821,Headphone,EAST,-3,,2024-01-13
3060,,east,-3,2000,18/12/2024
4519,Headphone,SOUTH,1000,,2023/11/08
1896,Tablet,south,4,,03-Aug-2021
3200,Tablet,SOUTH,4,1000,2021/01/10
1963,,south,4,1000,01-Apr-2023
4374,Phone,south,5,,2024-24-02
2551,Phone,NORTH,3,one thousand,09-Jan-2020
3842,Case,West,4,1500,2022/02/02
4572,,west,1000,one thousand,2023-06-06
3577,Phone,west,1000,2000,04/06/2022
2972,Tablet,east,-3,2000,17/12/2021
2831,Charger,east,,1500,2020-03-13
3184,Charger,North,4,10000,2022-23-03
4727,Tablet,east,,500,19/11/2020
2533,,West,1,500,2022/04/18
2406,Case,West,5,2000,2020/07/22
2123,Headphone,SOUTH,5,one thousand,04-08-2020
3698,,south,4,10000,21/03/2020
3849,Tablet,West,-3,2000,02-Aug-2021
4581,,West,1000,500,2020-24-03
2587,Charger,east,5,1000,2021-24-03
4695,,east,1,500,10-14-2024
1894,Case,NORTH,3,,06/06/2021
1543,,east,5,,21-Apr-2024
4110,Tablet,east,,one thousand,2023/08/20
1799,Headphone,east,,,14-Jul-2020
1047,Laptop,EAST,1000,1000,2024/06/27
3479,Headphone,west,1000,one thousand,01-24-2021
3857,Headphone,west,3,1500,2022/06/18
1854,Case,NORTH,-3,500,08/10/2021
1517,Headphone,NORTH,,1500,09-22-2020
1293,Phone,south,1000,10000,2024/10/14
2789,,SOUTH,2,one thousand,2022-31-07
3659,Laptop,North,5,,2020/02/25
4521,Case,east,4,1500,10-16-2020
1484,Laptop,North,5,1000,2020/10/02
3407,Case,EAST,,one thousand,04-Jul-2024
2811,Charger,West,-3,,12-18-2023
3026,Phone,east,1000,one thousand,2021/05/18
2900,Headphone,SOUTH,4,10000,2022/01/11
2861,Tablet,east,1000,1000,15/04/2023
2329,Tablet,SOUTH,3,10000,08/06/2022
2614,Headphone,west,4,one thousand,2020/05/04
3513,Headphone,West,-3,10000,2022/03/26
4612,Tablet,west,,,25/02/2021
4044,Tablet,EAST,2,10000,2021-10-07
1307,Case,West,2,1000,2024-04-06
3895,,SOUTH,1000,1500,2024-28-01
2321,Charger,West,1000,500,2020-05-07
1252,Laptop,EAST,4,500,01-04-2024
1274,Tablet,west,4,1500,10-18-2022
2001,Laptop,West,,10000,18/08/2022
1177,Headphone,south,2,10000,2023/08/14
2258,Laptop,NORTH,1000,one thousand,2022/10/09
4092,Case,NORTH,1000,10000,23/07/2020
4797,Case,west,1,1000,2024-05-04
1698,Laptop,south,4,one thousand,10-06-2020
4143,Charger,south,4,1000,07-19-2022
1345,Case,West,2,10000,2020-16-07
3652,Charger,west,4,1500,2020-04-07
4678,Phone,NORTH,3,1000,2020-21-03
3380,,SOUTH,5,500,26-Sep-2020
3510,Laptop,east,1,1500,2023-15-06
3133,Laptop,SOUTH,3,one thousand,23-Sep-2024
